"PRESTATAIRE","TYPE","ZONE_GEO","LIGNES","VISITES","PATIENTS","DEPENSES_TOTALES","FRAIS_REELS","REJETS_TOTAL","COUT_MOYEN_VISITE","COUT_MOYEN_PATIENT","TAUX_REJET","FREQUENCE_BRUTE","PART_CHRONIQUES","MEDIANE_COUT_VISITE","MEDIANE_FREQUENCE","MEDIANE_REJET","INDICE_COUT","INDICE_FREQUENCE","INDICE_REJET","PROFIL_RISQUE","INDICE_COUT_AJUSTE","INDICE_FREQ_AJUSTE","LIFT_RADIO","LIFT_LABO","LIFT_MULTI","FLAG_DEMANDE_INDUITE","SCORE_COUT","SCORE_FREQ","SCORE_ACTES","SCORE_REJET","SCORE_ANOMALIE_BRUT","SCORE_ANOMALIE","VOL_PERCENTILE","SCORE_ECONOMIE","SCORE_SAIN","SCORE_RESEAU_BRUT","SCORE_RESEAU","DECISION"
"HOPITAL GENERAL DE KOUMASSI","Hopital","ABIDJAN",46,39,34,287250,250250,37000,7365.38461538462,8448.52941176471,0.147852147852148,1.14705882352941,0.0217391304347826,15500,1,0,0.170028211175738,0.0930186125382112,0,"Économique",0.170028211175738,0.0930186125382112,1,1,1,0,0.0850141055878691,0.0465093062691056,0.333333333333333,0,0.139457023557092,13.9457023557092,0.536200326619488,0.914985894412131,0.860542976442908,0.817451613665913,81.7451613665913,"PRIVILÉGIER"
"HOPITAL GENERAL DE OUANGOLODOUGOU","Hopital","HORS-ABIDJAN",6,6,2,90000,60000,30000,15000,45000,0.5,3,0,15500,1,0,0.350246155075717,0.244770916334661,0,"Économique",0.350246155075717,0.244770916334661,1,1,1,0,0.175123077537859,0.122385458167331,0.333333333333333,0,0.189252560711557,18.9252560711557,0.359825802939575,0.824876922462141,0.810747439288443,0.726214905288149,72.6214905288149,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE PORT-BOUET","Hopital","ABIDJAN",6,6,6,26000,26000,0,4333.33333333333,4333.33333333333,0,1,0,15500,1,0,0.101182222577429,0.0815903054448871,0,"Économique",0.101182222577429,0.0815903054448871,1,1,1,0,0.0505911112887147,0.0407951527224436,0.333333333333333,0,0.127415879203347,12.7415879203347,0.204681545998911,0.949408888711285,0.872584120796652,0.769733513002957,76.9733513002957,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE SASSANDRA","Hopital","HORS-ABIDJAN",14,14,7,87500,87500,0,6250,12500,0,2,0.0714285714285714,15500,1,0,0.141414150478951,0.158461995693848,0,"Économique",0.141414150478951,0.158461995693848,1,1,1,0,0.0707070752394754,0.079230997846924,0.333333333333333,0,0.14498142192592,14.498142192592,0.356015242242787,0.929292924760525,0.85501857807408,0.7849276495824,78.49276495824,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE TANDA","Hopital","HORS-ABIDJAN",1,1,1,10000,10000,0,10000,10000,0,1,0,15500,1,0,0.233497436717145,0.0815903054448871,0,"Économique",0.233497436717145,0.0815903054448871,1,1,1,0,0.116748718358572,0.0407951527224436,0.333333333333333,0,0.147263161324305,14.7263161324305,0.0724006532389766,0.883251281641428,0.852736838675695,0.708875378774644,70.8875378774644,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE TEHINI","Hopital","HORS-ABIDJAN",1,1,1,3900,3900,0,3900,3900,0,1,0,15500,1,0,0.0910640003196865,0.0815903054448871,0,"Économique",0.0910640003196865,0.0815903054448871,1,1,1,0,0.0455320001598432,0.0407951527224436,0.333333333333333,0,0.125898145864686,12.5898145864686,0.0163309744148067,0.954467999840157,0.874101854135314,0.73469413647315,73.469413647315,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE TIASSALE","Hopital","HORS-ABIDJAN",6,4,4,58600,58600,0,14650,14650,0,1,0,15500,1,0,0.342073744790617,0.0815903054448871,0,"Économique",0.342073744790617,0.0815903054448871,1,1,1,0,0.171036872395309,0.0407951527224436,0.333333333333333,0,0.163549607535326,16.3549607535326,0.305933587370713,0.828963127604691,0.836450392464674,0.727352125501889,72.7352125501889,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL DE ZOUAN-HOUNIEN","Hopital","HORS-ABIDJAN",11,10,9,69000,69000,0,6900,7666.66666666667,0,1.11111111111111,0,15500,1,0,0.16111323133483,0.0906558949387635,0,"Économique",0.16111323133483,0.0906558949387635,1,1,1,0,0.080556615667415,0.0453279474693817,0.333333333333333,0,0.137765368941039,13.7765368941039,0.33097441480675,0.919443384332585,0.862234631058961,0.778866089117969,77.8866089117969,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL OUME","Hopital","HORS-ABIDJAN",5,3,2,61000,60500,500,20333.3333333333,30500,0.00826446280991736,1.5,0,15500,1,0,0.474778121324861,0.122385458167331,0,"Économique",0.474778121324861,0.122385458167331,1,1,1,0,0.237389060662431,0.0611927290836653,0.333333333333333,0,0.189574536923829,18.9574536923829,0.31355470876429,0.76261093933757,0.810425463076171,0.691925502718354,69.1925502718354,"SURVEILLER (FAIBLE VOLUME)"
"HOPITAL GENERAL TIASSALE","Hopital","HORS-ABIDJAN",53,43,32,942300,714800,227500,21913.9534883721,29446.875,0.318270844991606,1.34375,0,15500,1,0,0.511685196787362,0.109636972941567,0,"Économique",0.511685196787362,0.109636972941567,1,1,1,0,0.255842598393681,0.0548184864707835,0.333333333333333,0,0.193198325459339,19.3198325459339,0.747958628198149,0.744157401606319,0.806801674540661,0.769975356098422,76.9975356098422,"PRIVILÉGIER"
