"CLASSE_AGE","SEXE","FILIATION","AFFECTION_CHR_NUM","ZONE_GEO","TYPE_CONTRAT","TAUX_COUVERTURE","ANNEE","pp_totale","pp_ic_low","pp_ic_high","se_pp_boot","pp_p75","pp_p90","cv_prime","chargement_75","chargement_90"
"1","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",256237.889194383,238899.227458922,272256.300266043,15183.7734656764,271368.118927796,271960.23981996,0.0592565506741195,0.0590475896479738,0.0613584145381812
"2","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",239039.024820791,219022.375461339,258069.15430823,15289.4991656644,241624.072825448,252587.460480636,0.0639623558418004,0.0108143346325791,0.0566787605915078
"3","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",176060.805008512,167097.467616628,188961.142476998,9215.94150336612,178068.143946943,185330.14296698,0.0523452196127387,0.0114013958889608,0.0526485037826557
"4","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",185942.665424767,163727.291246209,230661.999214205,28968.5004300401,185304.509210862,215542.835879757,0.155792649115062,-0.00343200530361056,0.159189771682426
"5","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",209128.836411857,198065.535897829,235976.417510183,17157.0746123016,204992.061038742,225648.298686369,0.0820406927455596,-0.0197809897673242,0.0789917954785487
"6","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",178900.586012599,173213.273085662,183065.332887639,3944.1632410822,179858.769792346,181996.478522541,0.0220466759164469,0.00535595662989589,0.0173050998822572
"7","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",214362.031106283,188923.174442157,232715.878627033,18933.1538874453,229250.089743512,231560.615665859,0.0883232622388152,0.0694528716694617,0.0802314872219576
"8","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",288780.734446403,262092.699361281,314330.900289657,21213.4478365799,297147.818955225,308603.206511513,0.0734586670999587,0.028973832083577,0.0686419476808607
"9","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",287484.838591696,256404.822221568,312129.064517284,23938.4377608213,302661.175773179,308973.101602582,0.0832685225352707,0.0527900436622257,0.0747457261264682
"10","F","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",502227.47558799,465868.650431854,540332.99810111,31502.8791054582,524793.457949289,535153.151383837,0.0627263155377467,0.0449317957662111,0.0655592881637915
"1","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",203624.126210455,189417.15671383,219168.332648093,13166.4410993812,213725.454463277,217354.039919821,0.0646605161402782,0.049607718106948,0.0674277354304042
"2","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",191273.705117708,174424.572675136,205896.672412139,13024.5872525786,196934.913434846,202909.419419708,0.0680939768723743,0.0295974206891321,0.0608327960962479
"3","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",133550.355367996,121116.125696313,148697.14942438,11003.8122811154,137087.826548256,144827.375132339,0.0823944814732576,0.0264879203841292,0.0844402078397215
"4","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",132664.987287873,119771.92075827,148013.449665127,11993.43748016,138865.483097754,144964.127476002,0.0904039394669761,0.0467379972413262,0.0927082604051478
"5","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",146101.260057067,132501.418432153,154279.072673338,10028.6186160073,152663.502272924,153740.549206534,0.0686415614217848,0.0449157126591105,0.0522876335664912
"6","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",141243.087363987,129347.486004413,147709.122125555,8445.99654191761,147310.067543907,147576.103931673,0.0597975922188112,0.0429541742052521,0.0448377098368393
"7","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",174696.389197108,152800.842477899,190811.65887728,17004.647018802,188389.582097482,190004.299950681,0.0973382855647682,0.0783828043802567,0.0876257993878784
"8","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",236257.213428209,212761.313294595,259996.059482232,18742.0107719404,244207.126471478,254733.081811981,0.0793288403769118,0.0336493981619097,0.078202346145022
"9","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",234300.533538658,208196.895357689,256293.138042138,19794.5066052352,243690.851653932,252092.375912736,0.0844834038842221,0.0400780910459353,0.0759359874489672
"10","M","ENFANT","1","ABIDJAN","COLLECTIF",0.8,"2025",404979.083229393,369585.44070048,438938.604926864,27998.2308009559,417701.726160195,431859.645337974,0.0691350046468864,0.0314155556611684,0.06637518632871
"1","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",64087.0422859789,58203.096559685,68185.6874097408,4665.49470588246,68110.1130476923,68160.4959557247,0.0727993450698408,0.0627751042677413,0.0635612679949967
"2","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",51190.0715833242,46649.2387895455,55775.6934075278,3703.97016372968,53362.0017281316,54971.1295143958,0.0723571983621975,0.0424287381835754,0.0738631108361888
"3","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",25021.8088483006,23675.3493040574,26211.9304950622,1176.15763355598,26184.8390278367,26202.900005987,0.0470053000838852,0.0464806595952852,0.0472024690479829
"4","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",24116.3546118092,21918.8914968669,26499.721628322,1858.09572639595,24830.6829169599,25943.3753912013,0.0770471224322638,0.0296200780196249,0.0757585799678638
"5","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",29579.5751973051,28329.6863494867,30664.2132237064,954.36399446532,30205.0232765255,30511.1499079794,0.0322642900751418,0.0211445930189478,0.0314938502145637
"6","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",21819.5986078546,21114.9893534934,22700.5897776668,646.078287093012,22087.902947631,22496.3608343216,0.0296099987311608,0.0122964837529079,0.0310162546355626
"7","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",22600.0388856932,20808.6647367235,24205.6015761946,1435.40722779871,23284.3255392284,23898.5095638725,0.0635134848687089,0.0302781184136953,0.0574543559303915
"8","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",29935.4157723182,28780.4274849509,31124.2514611323,925.033256375221,30090.5965942663,30779.6998388436,0.0309009657126799,0.00518385390496531,0.028203518967195
"9","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",32958.4586435172,31353.074931557,36130.7966996467,2053.20749916141,32748.9312411023,35003.5082134652,0.0622968301208853,-0.00635731800085536,0.062049308557405
"10","F","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",91913.1912730454,85603.9534955394,95325.4811873705,4130.81530000167,93815.2003880047,94822.0542542485,0.044942572908064,0.0206935379853042,0.0316479380262385
"1","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",46269.6754676473,43021.8633284947,48883.1189604376,2374.26218270467,47160.8201303044,48309.0193503932,0.0513135689565146,0.0192597992886342,0.0440751715272315
"2","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",36954.2029064494,34636.1077635429,38997.5162054351,2014.69815382666,38414.0464282308,38803.0262797003,0.0545187825841332,0.0395041269183103,0.0500301245282229
"3","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",17021.8505282033,16636.7796073871,17796.2932745953,514.043440492129,17150.0957865153,17580.894111902,0.0301990338618246,0.00753415488518842,0.0328427031345615
"4","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",16216.7504294324,14566.7593803853,17460.9802865645,1190.716217226,16982.1795236174,17301.3800322488,0.0734250812089285,0.0471999058945776,0.0668832888275742
"5","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",19210.1189910409,18054.3857950037,20177.3267559391,890.488527532469,19917.2942410775,20090.6492509853,0.0463551802020471,0.0368126428767255,0.0458367936375096
"6","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",15265.2097778974,14606.7920620815,15805.2845226423,494.661579774915,15617.821263228,15742.7967695042,0.0324045058647761,0.023099026509358,0.0312859763184049
"7","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",16242.383256703,14640.7864850927,17546.938843123,1232.15779524852,17124.8780273187,17406.2519045216,0.0758606526994754,0.0543328375318001,0.0716562729387796
"8","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",21908.2048618201,20931.0895413958,23246.7658028996,954.280310133732,22304.5827302802,22932.7047786931,0.0435581242804962,0.0180926676083278,0.0467632981951172
"9","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",23731.3090026454,22542.8375856128,25344.3720834359,1123.75520290903,23876.9248565812,24855.2230078177,0.0473532750672862,0.00613602283462718,0.0473599667446497
"10","M","ASSURÉ PRINCIPAL","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",66230.2013991906,62013.1777273062,68827.2196657783,2890.20301406729,67879.7490863386,68511.3961392984,0.0436387471728662,0.0249062761746058,0.0344434214590156
"1","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",63336.3199583769,58211.3258750929,66872.6468131651,4677.49479795726,66775.1400415252,66840.1445559518,0.0738516983782954,0.0542945988243116,0.0553209374949086
"2","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",49790.9944398713,44790.4601057024,53312.1357901044,3482.76331454397,51891.503198573,52838.5915929273,0.06994765526826,0.042186519516864,0.0612077984651686
"3","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",27508.6233920388,24858.0196828441,29271.3063247911,1861.6038934472,28440.119570772,28994.2440734514,0.0676734661315683,0.0338619699524047,0.0540056352599081
"4","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",26848.4047011352,23643.5922005858,32265.8682607545,3583.59296623418,26711.9276714153,30414.5547309748,0.133475080032694,-0.00508324540095034,0.132825397618085
"5","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",35582.9261079152,33274.073201412,37428.0171099124,1662.9272711587,36242.2788660235,37032.7710286161,0.0467338539308263,0.0185300319627612,0.0407455226223891
"6","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",23138.6769078993,22622.6442439151,24069.9037987818,611.235587269449,23094.4825565144,23744.7633846927,0.0264161857526426,-0.00190997746158337,0.0261936531291669
"7","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",22187.3470104618,20655.7395874708,24584.8296501574,1624.01621813809,22303.0918813338,23824.2503938829,0.0731956018613821,0.00521670620725385,0.0737764358509937
"8","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",29488.084142595,28609.8868743583,29938.6578531942,578.494084538191,29875.9860884563,29917.7672649483,0.0196178931713833,0.013154531979275,0.0145714153647774
"9","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",32541.5158433409,30417.5155441791,35623.1134693103,2389.41331752057,34254.5101725186,35166.9123703797,0.073426613837644,0.0526402745779968,0.0806783721962374
"10","F","CONJOINT","0","HORS-ABIDJAN","COLLECTIF",0.8,"2025",90689.6855620015,82885.5515032568,97596.235967814,5864.05932831866,93473.838253983,96222.103396537,0.0646607085687777,0.030699772247838,0.0610038264026527
